報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AW/14/557/G0674,21,4550480761732,Notebook B6 Grid 3mm 112pages Beige,4820.10.00.20-4,,
AW/14/557/G0674,22,4550480761763,Notebook B6 Grid 3mm 112pages Gray,4820.10.00.20-4,,
AW/14/557/G0674,23,4550480773520,Noodle Bowl Couleur MumMT 食品用,6911.10.00.00-4,IFB14DJ6533700-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,24,4550480773537,Noodle Bowl Couleur Mum PK 食品用,6911.10.00.00-4,IFB14DJ6533802-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,25,4550480773544,Noodle Bowl - Couleur Mum WH食品用,6911.10.00.00-4,IFB14DJ6533904-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,26,4582694238588,Whale Humming Pasta Bowl 食品用,6912.00.10.00-3,IFB14DJ6534002-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,27,4582694238595,Whale Humming Plate L 食品用,6912.00.10.00-3,IFB14DJ6534104-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,28,4582694238601,Whale Humming Plate M 食品用,6912.00.10.00-3,IFB14DJ6534206-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,29,4550480496979,Oval Melamine Tray 1.31ft x 11.02in - 40cm x 28cm-,3924.10.00.90-6,DH999999999999,食品容器/雜貨 - 注意檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/14/557/G0674,30,4550480511412,Oval Melamine Tray -1.31ft x 11.02in - 40cm x 28cm Flower Design-,3924.10.00.90-6,DH999999999999,食品容器/雜貨 - 注意檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/14/557/G0674,31,4550480715063,EVA Sandals - US 4-6 EU 35-38 Thick Sole WH-,6402.99.90.32-7,,
AW/14/557/G0674,32,4550480770796,Ballpoint Pen - Diamond GY,9608.10.00.00-6,,
AW/14/557/G0674,33,4550480787244,Pasta Bowl - Colorful Marine-RD 食品用,6912.00.10.00-3,IFB14DJ6534308-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,34,4550480787275,Bowl - Colorful Marine-BL 食品用,6912.00.10.00-3,IFB14DJ6534400-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,35,4550480278810,Alarm Clock With Light -LPU-,9105.11.00.00-3,,
AW/14/557/G0674,36,4550480314136,Velour Feel Non-Slip Hanger LGY 6 pcs,3924.90.00.10-6,DH999999999999,食品容器/雜貨 - 注意檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/14/557/G0674,37,4550480329185,Wall Clock - With Thermometer and Hygrometer Diameter 9.84in 25cm WH-,9105.21.00.00-1,,
AW/14/557/G0674,38,4550480329192,Wall Clock With Thermometer and Hygrometer Diameter 9.84in 25cm GY-,9105.21.00.00-1,,
AW/14/557/G0674,39,4550480368597,Bamboo Tray - 11.02in x 7.87in x 0.78in - 28cm x 20cm x 2cm-,4419.19.00.00-6,DH999999999999,可能為免驗或核備代碼
AW/14/557/G0674,40,4550480629674,Travel Storage Pouch -BK-,4202.92.90.92-7,C1999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,41,4550480653396,Pastel Color Wine Glass -YL-,7013.28.00.00-9,,
AW/14/557/G0674,42,4550480653402,Pastel Color Wine Glass -BL-,7013.28.00.00-9,,
AW/14/557/G0674,43,4550480673752,Plate-10.43in- 26.5cm GY- 食品用,6912.00.10.00-3,IFB14DJ6534502-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,44,4550480673769,Plate-10.43in- 26.5cm PK 食品用,6912.00.10.00-3,IFB14DJ6534601-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,45,4550480673783,Bowl YL- 食品用,6912.00.10.00-3,IFB14DJ6534703-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,46,4550480673790,Bowl -GY- 食品用,6912.00.10.00-3,IFB14DJ6534805-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,47,4550480673813,Mug -YL- 食品用,6912.00.10.00-3,IFB14DJ6534907-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,48,4550480673820,Mug -GY- 食品用,6912.00.10.00-3,IFB14DJ6535005-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,49,4550480673837,Mug -PK- 食品用,6912.00.10.00-3,IFB14DJ6535107-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,50,4550480787282,Shallow Bowl Colorful Marine-RD 食品用,6911.10.00.00-4,IFB14DJ6535209-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,51,4550480787299,Shallow Bowl - Colorful Marine-BL 食品用,6911.10.00.00-4,IFB14DJ6535301-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,52,4550480809625,Floating waterproof smartphone case,3926.90.90.90-8,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,53,4582694232357,Marble Food Container L Pink 食品用,6911.10.00.00-4,IFB14DJ6535400-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,54,4549131781946,Hair Brush,9603.29.00.00-0,,
